SM LB ID Data1 Data2 Group
"270_petrous_270_upper_jaw_314_lower_jaw 314_1_L1 314_1_L1_fq 314_1_L1_1_R1.fastq.gz 314_1_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"270_petrous_270_upper_jaw_314_lower_jaw 314_2_L1 314_2_L1_fq 314_2_L1_1_R1.fastq.gz 314_2_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"268_petrous_315_lower_jaw 315_1_L1 315_1_L1_fq 315_1_L1_1_R1.fastq.gz 315_1_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"268_petrous_315_lower_jaw 315_2_L1 315_2_L1_fq 315_2_L1_1_R1.fastq.gz 315_2_L1_1_R2.fastq.gz nonUDG_2,DS_index8_8,DS"
"268_petrous_315_lower_jaw 315_2_L1 315_2_L1_fq_deep 315_2_L1_S43_L001_R1_001.fastq.gz 315_2_L1_S43_L001_R2_001.fastq.gz nonUDG_2,DS_index8_8,DS"
"277_petrous_277_upper_jaw 277_2_L1 277_2_L1_fq_deep2 277_2_L1_S44_L001_R1_001.fastq.gz 277_2_L1_S44_L001_R2_001.fastq.gz nonUDG_2,DS_index6_7,DS"
"276_petrous_276_upper_jaw 276_2_L1 276_2_L1_fq_deep2 276_2_L1_S45_L001_R1_001.fastq.gz 276_2_L1_S45_L001_R2_001.fastq.gz nonUDG_2,DS_index6_7,DS"
"274_petrous_274_upper_jaw 274_1_L1 274_1_L1_fq_deep2 274_1_L1_S46_L001_R1_001.fastq.gz 274_1_L1_S46_L001_R2_001.fastq.gz nonUDG_2,DS_index8_8,DS"
"273_petrous_273_lower_jaw 273_2_L1 273_2_L1_fq_deep2 273_2_L1_S47_L001_R1_001.fastq.gz 273_2_L1_S47_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"272_petrous_312_lower_jaw 272_2_B_L1 272_2_B_L1_fq_deep2 272_2_B_L1_S48_L001_R1_001.fastq.gz 272_2_B_L1_S48_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"271_petrous_271_upper_jaw_271_lower_jaw 271_1_L1 271_1_L1_fq_deep2 271_1_L1_S49_L001_R1_001.fastq.gz 271_1_L1_S49_L001_R2_001.fastq.gz nonUDG_2,DS_index8_8,DS"
"270_petrous_270_upper_jaw_314_lower_jaw 270_4_L1 270_4_L1_fq_deep2 270_4_L1_S50_L001_R1_001.fastq.gz 270_4_L1_S50_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"257_petrous_269_upper_jaw 269_2_L1 269_2_L1_fq_deep3 269_2_L1_S51_L001_R1_001.fastq.gz 269_2_L1_S51_L001_R2_001.fastq.gz nonUDG_2,DS_index8_8,DS"
"258_upper_jaw_265_petrous_270_2_lower_jaw_tooth2 265_L1 265_L1_fq_deep2 265_L1_S52_L001_R1_001.fastq.gz 265_L1_S52_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"264_petrous 264_L1 264_L1_fq_deep2 264_L1_S53_L001_R1_001.fastq.gz 264_L1_S53_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"263_lower_jaw_263_upper_jaw 263_3_L1 263_3_L1_fq_deep2 263_3_L1_S54_L001_R1_001.fastq.gz 263_3_L1_S54_L001_R2_001.fastq.gz nonUDG_2,DS_index8_8,DS"
"262_petrous_313_lower_jaw 262_L1 262_L1_fq_deep3 262_L1_S55_L001_R1_001.fastq.gz 262_L1_S55_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
"259_petrous 259_L1 259_L1_fq_deep2 259_L1_S56_L001_R1_001.fastq.gz 259_L1_S56_L001_R2_001.fastq.gz nonUDG_6,DS_index8_8,DS"
